i,fname,machine_id,sample,part,label,label_idx
1941,normal_id_02_00000164_hist_librosa_part134.bin,2,164,134,normal,0
1942,anomaly_id_03_00000061_hist_librosa_part188.bin,3,61,188,anomaly,1
1943,normal_id_04_00000146_hist_librosa_part015.bin,4,146,15,normal,0
1944,normal_id_02_00000243_hist_librosa_part151.bin,2,243,151,normal,0
1945,normal_id_01_00000117_hist_librosa_part123.bin,1,117,123,normal,0
1946,normal_id_02_00000161_hist_librosa_part140.bin,2,161,140,normal,0
1947,normal_id_01_00000288_hist_librosa_part183.bin,1,288,183,normal,0
1948,anomaly_id_02_00000171_hist_librosa_part189.bin,2,171,189,anomaly,1
1949,normal_id_02_00000339_hist_librosa_part184.bin,2,339,184,normal,0
1950,normal_id_04_00000010_hist_librosa_part064.bin,4,10,64,normal,0
1951,anomaly_id_03_00000194_hist_librosa_part086.bin,3,194,86,anomaly,1
1952,normal_id_03_00000093_hist_librosa_part158.bin,3,93,158,normal,0
1953,normal_id_02_00000013_hist_librosa_part092.bin,2,13,92,normal,0
1954,anomaly_id_03_00000180_hist_librosa_part173.bin,3,180,173,anomaly,1
1955,normal_id_02_00000311_hist_librosa_part019.bin,2,311,19,normal,0
1956,anomaly_id_01_00000140_hist_librosa_part161.bin,1,140,161,anomaly,1
1957,normal_id_03_00000165_hist_librosa_part070.bin,3,165,70,normal,0
1958,normal_id_04_00000045_hist_librosa_part145.bin,4,45,145,normal,0
1959,normal_id_01_00000049_hist_librosa_part106.bin,1,49,106,normal,0
1960,normal_id_02_00000131_hist_librosa_part094.bin,2,131,94,normal,0
1961,normal_id_03_00000215_hist_librosa_part156.bin,3,215,156,normal,0
1962,anomaly_id_03_00000253_hist_librosa_part125.bin,3,253,125,anomaly,1
1963,normal_id_02_00000208_hist_librosa_part139.bin,2,208,139,normal,0
1964,anomaly_id_01_00000158_hist_librosa_part083.bin,1,158,83,anomaly,1
1965,normal_id_01_00000168_hist_librosa_part010.bin,1,168,10,normal,0
1966,normal_id_03_00000249_hist_librosa_part120.bin,3,249,120,normal,0
1967,anomaly_id_01_00000018_hist_librosa_part050.bin,1,18,50,anomaly,1
1968,normal_id_03_00000264_hist_librosa_part027.bin,3,264,27,normal,0
1969,normal_id_01_00000250_hist_librosa_part139.bin,1,250,139,normal,0
1970,normal_id_03_00000060_hist_librosa_part056.bin,3,60,56,normal,0
1971,anomaly_id_01_00000004_hist_librosa_part020.bin,1,4,20,anomaly,1
1972,anomaly_id_03_00000024_hist_librosa_part086.bin,3,24,86,anomaly,1
1973,normal_id_04_00000305_hist_librosa_part121.bin,4,305,121,normal,0
1974,normal_id_04_00000167_hist_librosa_part177.bin,4,167,177,normal,0
1975,normal_id_02_00000311_hist_librosa_part020.bin,2,311,20,normal,0
1976,anomaly_id_01_00000233_hist_librosa_part028.bin,1,233,28,anomaly,1
1977,normal_id_04_00000176_hist_librosa_part043.bin,4,176,43,normal,0
1978,normal_id_02_00000289_hist_librosa_part032.bin,2,289,32,normal,0
1979,anomaly_id_02_00000069_hist_librosa_part060.bin,2,69,60,anomaly,1
1980,normal_id_02_00000171_hist_librosa_part077.bin,2,171,77,normal,0
1981,normal_id_01_00000255_hist_librosa_part084.bin,1,255,84,normal,0
1982,normal_id_03_00000077_hist_librosa_part027.bin,3,77,27,normal,0
1983,normal_id_03_00000260_hist_librosa_part191.bin,3,260,191,normal,0
1984,normal_id_03_00000020_hist_librosa_part001.bin,3,20,1,normal,0
1985,normal_id_01_00000029_hist_librosa_part016.bin,1,29,16,normal,0
1986,anomaly_id_02_00000220_hist_librosa_part138.bin,2,220,138,anomaly,1
1987,anomaly_id_01_00000078_hist_librosa_part003.bin,1,78,3,anomaly,1
1988,normal_id_03_00000305_hist_librosa_part147.bin,3,305,147,normal,0
1989,normal_id_04_00000252_hist_librosa_part069.bin,4,252,69,normal,0
1990,anomaly_id_03_00000202_hist_librosa_part025.bin,3,202,25,anomaly,1
1991,normal_id_03_00000131_hist_librosa_part052.bin,3,131,52,normal,0
1992,anomaly_id_01_00000258_hist_librosa_part070.bin,1,258,70,anomaly,1
1993,normal_id_03_00000304_hist_librosa_part139.bin,3,304,139,normal,0
1994,normal_id_02_00000084_hist_librosa_part075.bin,2,84,75,normal,0
1995,normal_id_01_00000290_hist_librosa_part004.bin,1,290,4,normal,0
1996,normal_id_04_00000060_hist_librosa_part015.bin,4,60,15,normal,0
1997,normal_id_04_00000009_hist_librosa_part163.bin,4,9,163,normal,0
1998,normal_id_02_00000000_hist_librosa_part053.bin,2,0,53,normal,0
1999,normal_id_02_00000236_hist_librosa_part077.bin,2,236,77,normal,0
2000,normal_id_01_00000037_hist_librosa_part183.bin,1,37,183,normal,0
2001,normal_id_03_00000125_hist_librosa_part004.bin,3,125,4,normal,0
2002,normal_id_04_00000124_hist_librosa_part030.bin,4,124,30,normal,0
2003,normal_id_04_00000178_hist_librosa_part151.bin,4,178,151,normal,0
2004,normal_id_03_00000030_hist_librosa_part093.bin,3,30,93,normal,0
2005,normal_id_01_00000226_hist_librosa_part051.bin,1,226,51,normal,0
2006,anomaly_id_01_00000081_hist_librosa_part182.bin,1,81,182,anomaly,1
2007,normal_id_03_00000263_hist_librosa_part156.bin,3,263,156,normal,0
2008,anomaly_id_02_00000192_hist_librosa_part052.bin,2,192,52,anomaly,1
2009,normal_id_01_00000312_hist_librosa_part180.bin,1,312,180,normal,0
2010,normal_id_04_00000127_hist_librosa_part115.bin,4,127,115,normal,0
2011,anomaly_id_01_00000041_hist_librosa_part195.bin,1,41,195,anomaly,1
2012,anomaly_id_01_00000147_hist_librosa_part024.bin,1,147,24,anomaly,1
2013,anomaly_id_01_00000043_hist_librosa_part056.bin,1,43,56,anomaly,1
2014,anomaly_id_01_00000240_hist_librosa_part098.bin,1,240,98,anomaly,1
2015,anomaly_id_01_00000224_hist_librosa_part138.bin,1,224,138,anomaly,1
2016,anomaly_id_01_00000191_hist_librosa_part032.bin,1,191,32,anomaly,1
2017,normal_id_03_00000273_hist_librosa_part129.bin,3,273,129,normal,0
2018,anomaly_id_01_00000242_hist_librosa_part003.bin,1,242,3,anomaly,1
2019,anomaly_id_01_00000076_hist_librosa_part016.bin,1,76,16,anomaly,1
2020,normal_id_03_00000015_hist_librosa_part079.bin,3,15,79,normal,0
2021,anomaly_id_02_00000043_hist_librosa_part186.bin,2,43,186,anomaly,1
2022,anomaly_id_02_00000118_hist_librosa_part001.bin,2,118,1,anomaly,1
2023,anomaly_id_02_00000102_hist_librosa_part040.bin,2,102,40,anomaly,1
2024,normal_id_03_00000308_hist_librosa_part039.bin,3,308,39,normal,0
2025,anomaly_id_02_00000064_hist_librosa_part180.bin,2,64,180,anomaly,1
2026,normal_id_03_00000024_hist_librosa_part134.bin,3,24,134,normal,0
2027,normal_id_03_00000037_hist_librosa_part096.bin,3,37,96,normal,0
2028,anomaly_id_01_00000183_hist_librosa_part006.bin,1,183,6,anomaly,1
2029,normal_id_04_00000281_hist_librosa_part050.bin,4,281,50,normal,0
2030,normal_id_04_00000165_hist_librosa_part041.bin,4,165,41,normal,0
2031,anomaly_id_03_00000065_hist_librosa_part137.bin,3,65,137,anomaly,1
2032,anomaly_id_03_00000152_hist_librosa_part086.bin,3,152,86,anomaly,1
2033,normal_id_01_00000023_hist_librosa_part111.bin,1,23,111,normal,0
2034,normal_id_03_00000060_hist_librosa_part168.bin,3,60,168,normal,0
2035,anomaly_id_02_00000094_hist_librosa_part141.bin,2,94,141,anomaly,1
2036,anomaly_id_03_00000116_hist_librosa_part161.bin,3,116,161,anomaly,1
2037,anomaly_id_03_00000263_hist_librosa_part069.bin,3,263,69,anomaly,1
2038,normal_id_03_00000303_hist_librosa_part124.bin,3,303,124,normal,0
2039,anomaly_id_02_00000202_hist_librosa_part059.bin,2,202,59,anomaly,1
2040,normal_id_04_00000242_hist_librosa_part044.bin,4,242,44,normal,0
2041,anomaly_id_01_00000233_hist_librosa_part071.bin,1,233,71,anomaly,1
2042,anomaly_id_02_00000055_hist_librosa_part114.bin,2,55,114,anomaly,1
2043,anomaly_id_02_00000140_hist_librosa_part109.bin,2,140,109,anomaly,1
2044,anomaly_id_02_00000082_hist_librosa_part117.bin,2,82,117,anomaly,1
2045,normal_id_04_00000129_hist_librosa_part068.bin,4,129,68,normal,0
2046,normal_id_04_00000027_hist_librosa_part012.bin,4,27,12,normal,0
2047,normal_id_03_00000031_hist_librosa_part150.bin,3,31,150,normal,0
2048,anomaly_id_01_00000044_hist_librosa_part160.bin,1,44,160,anomaly,1
2049,anomaly_id_03_00000174_hist_librosa_part007.bin,3,174,7,anomaly,1
2050,normal_id_04_00000152_hist_librosa_part057.bin,4,152,57,normal,0
2051,anomaly_id_01_00000080_hist_librosa_part018.bin,1,80,18,anomaly,1
2052,normal_id_02_00000208_hist_librosa_part084.bin,2,208,84,normal,0
2053,anomaly_id_02_00000172_hist_librosa_part127.bin,2,172,127,anomaly,1
2054,normal_id_04_00000269_hist_librosa_part029.bin,4,269,29,normal,0
2055,normal_id_03_00000284_hist_librosa_part145.bin,3,284,145,normal,0
2056,normal_id_01_00000274_hist_librosa_part126.bin,1,274,126,normal,0
2057,anomaly_id_03_00000023_hist_librosa_part115.bin,3,23,115,anomaly,1
2058,normal_id_02_00000181_hist_librosa_part067.bin,2,181,67,normal,0
2059,normal_id_02_00000093_hist_librosa_part081.bin,2,93,81,normal,0
2060,normal_id_04_00000119_hist_librosa_part047.bin,4,119,47,normal,0
2061,anomaly_id_03_00000088_hist_librosa_part130.bin,3,88,130,anomaly,1
2062,normal_id_02_00000005_hist_librosa_part025.bin,2,5,25,normal,0
2063,normal_id_01_00000244_hist_librosa_part014.bin,1,244,14,normal,0
2064,normal_id_02_00000018_hist_librosa_part002.bin,2,18,2,normal,0
2065,anomaly_id_01_00000260_hist_librosa_part127.bin,1,260,127,anomaly,1
2066,normal_id_01_00000302_hist_librosa_part004.bin,1,302,4,normal,0
2067,anomaly_id_01_00000220_hist_librosa_part099.bin,1,220,99,anomaly,1
2068,normal_id_01_00000231_hist_librosa_part051.bin,1,231,51,normal,0
2069,anomaly_id_02_00000083_hist_librosa_part033.bin,2,83,33,anomaly,1
2070,anomaly_id_01_00000057_hist_librosa_part032.bin,1,57,32,anomaly,1
2071,anomaly_id_03_00000252_hist_librosa_part023.bin,3,252,23,anomaly,1
2072,normal_id_01_00000340_hist_librosa_part012.bin,1,340,12,normal,0
2073,normal_id_01_00000032_hist_librosa_part145.bin,1,32,145,normal,0
2074,normal_id_04_00000273_hist_librosa_part181.bin,4,273,181,normal,0
2075,normal_id_03_00000098_hist_librosa_part183.bin,3,98,183,normal,0
2076,normal_id_04_00000043_hist_librosa_part154.bin,4,43,154,normal,0
2077,normal_id_03_00000000_hist_librosa_part038.bin,3,0,38,normal,0
2078,normal_id_04_00000021_hist_librosa_part108.bin,4,21,108,normal,0
2079,normal_id_04_00000241_hist_librosa_part065.bin,4,241,65,normal,0
2080,normal_id_04_00000225_hist_librosa_part144.bin,4,225,144,normal,0
2081,normal_id_01_00000056_hist_librosa_part156.bin,1,56,156,normal,0
2082,anomaly_id_01_00000009_hist_librosa_part076.bin,1,9,76,anomaly,1
2083,normal_id_01_00000250_hist_librosa_part000.bin,1,250,0,normal,0
2084,anomaly_id_01_00000059_hist_librosa_part035.bin,1,59,35,anomaly,1
2085,anomaly_id_01_00000102_hist_librosa_part078.bin,1,102,78,anomaly,1
2086,normal_id_03_00000328_hist_librosa_part048.bin,3,328,48,normal,0
2087,normal_id_03_00000258_hist_librosa_part178.bin,3,258,178,normal,0
2088,anomaly_id_01_00000034_hist_librosa_part080.bin,1,34,80,anomaly,1
2089,anomaly_id_03_00000003_hist_librosa_part122.bin,3,3,122,anomaly,1
2090,normal_id_03_00000328_hist_librosa_part009.bin,3,328,9,normal,0
2091,normal_id_04_00000035_hist_librosa_part168.bin,4,35,168,normal,0
2092,normal_id_04_00000050_hist_librosa_part085.bin,4,50,85,normal,0
2093,anomaly_id_03_00000169_hist_librosa_part050.bin,3,169,50,anomaly,1
2094,normal_id_04_00000069_hist_librosa_part112.bin,4,69,112,normal,0
2095,normal_id_03_00000277_hist_librosa_part014.bin,3,277,14,normal,0
2096,normal_id_02_00000240_hist_librosa_part180.bin,2,240,180,normal,0
2097,normal_id_03_00000094_hist_librosa_part142.bin,3,94,142,normal,0
2098,normal_id_04_00000321_hist_librosa_part045.bin,4,321,45,normal,0
2099,anomaly_id_03_00000153_hist_librosa_part136.bin,3,153,136,anomaly,1
2100,anomaly_id_02_00000255_hist_librosa_part158.bin,2,255,158,anomaly,1
2101,normal_id_02_00000337_hist_librosa_part037.bin,2,337,37,normal,0
2102,anomaly_id_03_00000078_hist_librosa_part035.bin,3,78,35,anomaly,1
2103,normal_id_04_00000247_hist_librosa_part048.bin,4,247,48,normal,0
2104,anomaly_id_02_00000182_hist_librosa_part156.bin,2,182,156,anomaly,1
2105,anomaly_id_01_00000195_hist_librosa_part130.bin,1,195,130,anomaly,1
2106,normal_id_01_00000101_hist_librosa_part176.bin,1,101,176,normal,0
2107,anomaly_id_03_00000252_hist_librosa_part062.bin,3,252,62,anomaly,1
2108,anomaly_id_01_00000114_hist_librosa_part061.bin,1,114,61,anomaly,1
2109,normal_id_02_00000260_hist_librosa_part129.bin,2,260,129,normal,0
2110,anomaly_id_02_00000181_hist_librosa_part024.bin,2,181,24,anomaly,1
2111,normal_id_04_00000256_hist_librosa_part116.bin,4,256,116,normal,0
2112,anomaly_id_02_00000138_hist_librosa_part171.bin,2,138,171,anomaly,1
2113,normal_id_02_00000217_hist_librosa_part092.bin,2,217,92,normal,0
2114,normal_id_02_00000124_hist_librosa_part024.bin,2,124,24,normal,0
2115,normal_id_04_00000094_hist_librosa_part087.bin,4,94,87,normal,0
2116,normal_id_04_00000061_hist_librosa_part082.bin,4,61,82,normal,0
2117,normal_id_02_00000149_hist_librosa_part033.bin,2,149,33,normal,0
2118,normal_id_04_00000051_hist_librosa_part066.bin,4,51,66,normal,0
2119,normal_id_01_00000207_hist_librosa_part128.bin,1,207,128,normal,0
2120,normal_id_04_00000023_hist_librosa_part105.bin,4,23,105,normal,0
2121,anomaly_id_02_00000098_hist_librosa_part094.bin,2,98,94,anomaly,1
2122,normal_id_04_00000286_hist_librosa_part074.bin,4,286,74,normal,0
2123,normal_id_02_00000047_hist_librosa_part013.bin,2,47,13,normal,0
2124,normal_id_02_00000102_hist_librosa_part166.bin,2,102,166,normal,0
2125,normal_id_01_00000099_hist_librosa_part009.bin,1,99,9,normal,0
2126,anomaly_id_03_00000260_hist_librosa_part096.bin,3,260,96,anomaly,1
2127,normal_id_04_00000182_hist_librosa_part067.bin,4,182,67,normal,0
2128,anomaly_id_02_00000157_hist_librosa_part099.bin,2,157,99,anomaly,1
2129,normal_id_01_00000137_hist_librosa_part065.bin,1,137,65,normal,0
2130,anomaly_id_03_00000096_hist_librosa_part139.bin,3,96,139,anomaly,1
2131,anomaly_id_03_00000109_hist_librosa_part065.bin,3,109,65,anomaly,1
2132,anomaly_id_02_00000189_hist_librosa_part098.bin,2,189,98,anomaly,1
2133,anomaly_id_03_00000179_hist_librosa_part167.bin,3,179,167,anomaly,1
2134,normal_id_02_00000242_hist_librosa_part178.bin,2,242,178,normal,0
2135,normal_id_01_00000109_hist_librosa_part102.bin,1,109,102,normal,0
2136,anomaly_id_02_00000073_hist_librosa_part177.bin,2,73,177,anomaly,1
2137,anomaly_id_01_00000047_hist_librosa_part100.bin,1,47,100,anomaly,1
2138,normal_id_04_00000047_hist_librosa_part126.bin,4,47,126,normal,0
2139,anomaly_id_03_00000252_hist_librosa_part115.bin,3,252,115,anomaly,1
2140,normal_id_02_00000129_hist_librosa_part057.bin,2,129,57,normal,0
2141,anomaly_id_01_00000078_hist_librosa_part023.bin,1,78,23,anomaly,1
2142,anomaly_id_02_00000182_hist_librosa_part057.bin,2,182,57,anomaly,1
2143,anomaly_id_01_00000096_hist_librosa_part007.bin,1,96,7,anomaly,1
2144,anomaly_id_01_00000253_hist_librosa_part168.bin,1,253,168,anomaly,1
2145,anomaly_id_03_00000033_hist_librosa_part080.bin,3,33,80,anomaly,1
2146,normal_id_02_00000030_hist_librosa_part127.bin,2,30,127,normal,0
2147,normal_id_04_00000094_hist_librosa_part132.bin,4,94,132,normal,0
2148,anomaly_id_01_00000096_hist_librosa_part129.bin,1,96,129,anomaly,1
2149,normal_id_02_00000104_hist_librosa_part150.bin,2,104,150,normal,0
2150,anomaly_id_02_00000226_hist_librosa_part116.bin,2,226,116,anomaly,1
2151,anomaly_id_01_00000199_hist_librosa_part158.bin,1,199,158,anomaly,1
2152,normal_id_01_00000235_hist_librosa_part017.bin,1,235,17,normal,0
2153,normal_id_02_00000283_hist_librosa_part005.bin,2,283,5,normal,0
2154,normal_id_04_00000230_hist_librosa_part160.bin,4,230,160,normal,0
2155,normal_id_04_00000242_hist_librosa_part144.bin,4,242,144,normal,0
2156,normal_id_03_00000284_hist_librosa_part162.bin,3,284,162,normal,0
2157,normal_id_03_00000138_hist_librosa_part071.bin,3,138,71,normal,0
2158,normal_id_01_00000050_hist_librosa_part178.bin,1,50,178,normal,0
2159,anomaly_id_01_00000180_hist_librosa_part050.bin,1,180,50,anomaly,1
2160,normal_id_02_00000190_hist_librosa_part133.bin,2,190,133,normal,0
2161,anomaly_id_01_00000183_hist_librosa_part035.bin,1,183,35,anomaly,1
2162,anomaly_id_01_00000065_hist_librosa_part008.bin,1,65,8,anomaly,1
2163,normal_id_03_00000014_hist_librosa_part178.bin,3,14,178,normal,0
2164,normal_id_03_00000314_hist_librosa_part052.bin,3,314,52,normal,0
2165,anomaly_id_02_00000215_hist_librosa_part018.bin,2,215,18,anomaly,1
2166,anomaly_id_03_00000022_hist_librosa_part048.bin,3,22,48,anomaly,1
2167,anomaly_id_01_00000236_hist_librosa_part141.bin,1,236,141,anomaly,1
2168,normal_id_01_00000160_hist_librosa_part027.bin,1,160,27,normal,0
2169,normal_id_02_00000107_hist_librosa_part019.bin,2,107,19,normal,0
2170,normal_id_04_00000234_hist_librosa_part032.bin,4,234,32,normal,0
2171,normal_id_04_00000186_hist_librosa_part029.bin,4,186,29,normal,0
2172,normal_id_02_00000202_hist_librosa_part081.bin,2,202,81,normal,0
2173,normal_id_01_00000304_hist_librosa_part008.bin,1,304,8,normal,0
2174,anomaly_id_02_00000139_hist_librosa_part169.bin,2,139,169,anomaly,1
2175,anomaly_id_02_00000239_hist_librosa_part086.bin,2,239,86,anomaly,1
2176,anomaly_id_03_00000247_hist_librosa_part039.bin,3,247,39,anomaly,1
2177,normal_id_01_00000004_hist_librosa_part018.bin,1,4,18,normal,0
2178,normal_id_01_00000222_hist_librosa_part030.bin,1,222,30,normal,0
2179,normal_id_04_00000282_hist_librosa_part076.bin,4,282,76,normal,0
2180,anomaly_id_01_00000133_hist_librosa_part039.bin,1,133,39,anomaly,1
2181,normal_id_02_00000004_hist_librosa_part033.bin,2,4,33,normal,0
2182,anomaly_id_01_00000230_hist_librosa_part103.bin,1,230,103,anomaly,1
2183,anomaly_id_01_00000160_hist_librosa_part165.bin,1,160,165,anomaly,1
2184,normal_id_02_00000247_hist_librosa_part078.bin,2,247,78,normal,0
2185,normal_id_03_00000250_hist_librosa_part008.bin,3,250,8,normal,0
2186,normal_id_04_00000029_hist_librosa_part001.bin,4,29,1,normal,0
2187,normal_id_02_00000339_hist_librosa_part117.bin,2,339,117,normal,0
2188,normal_id_03_00000076_hist_librosa_part115.bin,3,76,115,normal,0
2189,normal_id_03_00000007_hist_librosa_part011.bin,3,7,11,normal,0
2190,normal_id_01_00000141_hist_librosa_part096.bin,1,141,96,normal,0
2191,normal_id_03_00000016_hist_librosa_part054.bin,3,16,54,normal,0
2192,normal_id_02_00000207_hist_librosa_part164.bin,2,207,164,normal,0
2193,anomaly_id_02_00000173_hist_librosa_part016.bin,2,173,16,anomaly,1
2194,anomaly_id_01_00000216_hist_librosa_part104.bin,1,216,104,anomaly,1
2195,normal_id_04_00000010_hist_librosa_part117.bin,4,10,117,normal,0
2196,normal_id_04_00000308_hist_librosa_part131.bin,4,308,131,normal,0
2197,normal_id_01_00000278_hist_librosa_part175.bin,1,278,175,normal,0
2198,normal_id_02_00000041_hist_librosa_part103.bin,2,41,103,normal,0
2199,anomaly_id_03_00000231_hist_librosa_part190.bin,3,231,190,anomaly,1
2200,normal_id_02_00000176_hist_librosa_part162.bin,2,176,162,normal,0
2201,anomaly_id_01_00000171_hist_librosa_part186.bin,1,171,186,anomaly,1
2202,normal_id_03_00000222_hist_librosa_part045.bin,3,222,45,normal,0
2203,anomaly_id_02_00000181_hist_librosa_part000.bin,2,181,0,anomaly,1
2204,normal_id_03_00000136_hist_librosa_part009.bin,3,136,9,normal,0
2205,anomaly_id_03_00000088_hist_librosa_part125.bin,3,88,125,anomaly,1
2206,anomaly_id_02_00000263_hist_librosa_part016.bin,2,263,16,anomaly,1
2207,normal_id_01_00000091_hist_librosa_part107.bin,1,91,107,normal,0
2208,normal_id_03_00000270_hist_librosa_part086.bin,3,270,86,normal,0
2209,normal_id_02_00000341_hist_librosa_part122.bin,2,341,122,normal,0
2210,normal_id_04_00000315_hist_librosa_part102.bin,4,315,102,normal,0
2211,normal_id_02_00000071_hist_librosa_part046.bin,2,71,46,normal,0
2212,normal_id_03_00000287_hist_librosa_part043.bin,3,287,43,normal,0
2213,anomaly_id_03_00000199_hist_librosa_part027.bin,3,199,27,anomaly,1
2214,anomaly_id_02_00000006_hist_librosa_part080.bin,2,6,80,anomaly,1
2215,normal_id_01_00000048_hist_librosa_part116.bin,1,48,116,normal,0
2216,anomaly_id_02_00000060_hist_librosa_part067.bin,2,60,67,anomaly,1
2217,anomaly_id_03_00000137_hist_librosa_part165.bin,3,137,165,anomaly,1
2218,normal_id_02_00000042_hist_librosa_part186.bin,2,42,186,normal,0
2219,normal_id_03_00000178_hist_librosa_part128.bin,3,178,128,normal,0
2220,anomaly_id_03_00000244_hist_librosa_part119.bin,3,244,119,anomaly,1
2221,normal_id_03_00000127_hist_librosa_part129.bin,3,127,129,normal,0
2222,anomaly_id_01_00000208_hist_librosa_part036.bin,1,208,36,anomaly,1
2223,normal_id_04_00000096_hist_librosa_part060.bin,4,96,60,normal,0
2224,normal_id_04_00000144_hist_librosa_part142.bin,4,144,142,normal,0
2225,normal_id_04_00000150_hist_librosa_part149.bin,4,150,149,normal,0
2226,normal_id_03_00000195_hist_librosa_part020.bin,3,195,20,normal,0
2227,normal_id_04_00000037_hist_librosa_part192.bin,4,37,192,normal,0
2228,anomaly_id_03_00000095_hist_librosa_part071.bin,3,95,71,anomaly,1
2229,normal_id_02_00000097_hist_librosa_part062.bin,2,97,62,normal,0
2230,anomaly_id_01_00000185_hist_librosa_part133.bin,1,185,133,anomaly,1
2231,anomaly_id_01_00000115_hist_librosa_part019.bin,1,115,19,anomaly,1
2232,anomaly_id_01_00000155_hist_librosa_part115.bin,1,155,115,anomaly,1
2233,normal_id_02_00000322_hist_librosa_part132.bin,2,322,132,normal,0
2234,normal_id_04_00000249_hist_librosa_part067.bin,4,249,67,normal,0
2235,normal_id_02_00000020_hist_librosa_part114.bin,2,20,114,normal,0
2236,anomaly_id_02_00000158_hist_librosa_part021.bin,2,158,21,anomaly,1
2237,anomaly_id_03_00000058_hist_librosa_part015.bin,3,58,15,anomaly,1
2238,normal_id_02_00000325_hist_librosa_part188.bin,2,325,188,normal,0
2239,anomaly_id_02_00000021_hist_librosa_part074.bin,2,21,74,anomaly,1
2240,anomaly_id_03_00000006_hist_librosa_part159.bin,3,6,159,anomaly,1
2241,normal_id_04_00000158_hist_librosa_part056.bin,4,158,56,normal,0
2242,anomaly_id_02_00000038_hist_librosa_part144.bin,2,38,144,anomaly,1
2243,normal_id_04_00000008_hist_librosa_part107.bin,4,8,107,normal,0
2244,normal_id_01_00000069_hist_librosa_part006.bin,1,69,6,normal,0
2245,normal_id_01_00000015_hist_librosa_part074.bin,1,15,74,normal,0
2246,normal_id_02_00000145_hist_librosa_part171.bin,2,145,171,normal,0
2247,anomaly_id_03_00000199_hist_librosa_part193.bin,3,199,193,anomaly,1
2248,normal_id_02_00000225_hist_librosa_part160.bin,2,225,160,normal,0
2249,anomaly_id_01_00000094_hist_librosa_part055.bin,1,94,55,anomaly,1
2250,normal_id_04_00000223_hist_librosa_part098.bin,4,223,98,normal,0
2251,normal_id_03_00000049_hist_librosa_part038.bin,3,49,38,normal,0
2252,normal_id_03_00000248_hist_librosa_part136.bin,3,248,136,normal,0
2253,normal_id_02_00000030_hist_librosa_part173.bin,2,30,173,normal,0
2254,normal_id_03_00000304_hist_librosa_part034.bin,3,304,34,normal,0
2255,anomaly_id_03_00000114_hist_librosa_part109.bin,3,114,109,anomaly,1
2256,anomaly_id_01_00000245_hist_librosa_part103.bin,1,245,103,anomaly,1
2257,normal_id_01_00000234_hist_librosa_part118.bin,1,234,118,normal,0
2258,anomaly_id_01_00000203_hist_librosa_part070.bin,1,203,70,anomaly,1
2259,normal_id_02_00000336_hist_librosa_part079.bin,2,336,79,normal,0
2260,normal_id_01_00000284_hist_librosa_part190.bin,1,284,190,normal,0
2261,normal_id_01_00000266_hist_librosa_part141.bin,1,266,141,normal,0
2262,normal_id_02_00000020_hist_librosa_part173.bin,2,20,173,normal,0
2263,normal_id_02_00000006_hist_librosa_part047.bin,2,6,47,normal,0
2264,normal_id_04_00000056_hist_librosa_part032.bin,4,56,32,normal,0
2265,normal_id_04_00000103_hist_librosa_part173.bin,4,103,173,normal,0
2266,normal_id_01_00000030_hist_librosa_part099.bin,1,30,99,normal,0
2267,anomaly_id_01_00000205_hist_librosa_part120.bin,1,205,120,anomaly,1
2268,normal_id_04_00000062_hist_librosa_part076.bin,4,62,76,normal,0
2269,normal_id_04_00000105_hist_librosa_part084.bin,4,105,84,normal,0
2270,anomaly_id_01_00000219_hist_librosa_part113.bin,1,219,113,anomaly,1
2271,normal_id_01_00000229_hist_librosa_part144.bin,1,229,144,normal,0
2272,anomaly_id_02_00000154_hist_librosa_part081.bin,2,154,81,anomaly,1
2273,normal_id_02_00000158_hist_librosa_part179.bin,2,158,179,normal,0
2274,anomaly_id_01_00000175_hist_librosa_part142.bin,1,175,142,anomaly,1
2275,anomaly_id_01_00000217_hist_librosa_part067.bin,1,217,67,anomaly,1
2276,anomaly_id_02_00000065_hist_librosa_part172.bin,2,65,172,anomaly,1
2277,normal_id_03_00000349_hist_librosa_part053.bin,3,349,53,normal,0
2278,normal_id_02_00000291_hist_librosa_part069.bin,2,291,69,normal,0
2279,anomaly_id_01_00000193_hist_librosa_part070.bin,1,193,70,anomaly,1
2280,normal_id_02_00000200_hist_librosa_part176.bin,2,200,176,normal,0
2281,normal_id_02_00000285_hist_librosa_part079.bin,2,285,79,normal,0
2282,normal_id_02_00000064_hist_librosa_part013.bin,2,64,13,normal,0
2283,anomaly_id_01_00000107_hist_librosa_part156.bin,1,107,156,anomaly,1
2284,normal_id_04_00000128_hist_librosa_part172.bin,4,128,172,normal,0
2285,normal_id_03_00000141_hist_librosa_part158.bin,3,141,158,normal,0
2286,normal_id_01_00000241_hist_librosa_part002.bin,1,241,2,normal,0
2287,normal_id_04_00000075_hist_librosa_part174.bin,4,75,174,normal,0
2288,anomaly_id_01_00000040_hist_librosa_part176.bin,1,40,176,anomaly,1
2289,normal_id_01_00000090_hist_librosa_part010.bin,1,90,10,normal,0
2290,anomaly_id_01_00000175_hist_librosa_part113.bin,1,175,113,anomaly,1
2291,normal_id_02_00000001_hist_librosa_part004.bin,2,1,4,normal,0
2292,anomaly_id_03_00000255_hist_librosa_part132.bin,3,255,132,anomaly,1
2293,normal_id_03_00000119_hist_librosa_part057.bin,3,119,57,normal,0
